,CumBOE,CumGas,CumOil,DrillType,Field,First6BOE,FirstProdDate,GrossPerforatedInterval,HorizontalLength,LowerPerforation,OperatorAlias,Range,TargetFormation,TotalDepth,Township,TreatmentJobCount,UpperPerforation,VerticalDepth,WellName,WellNumber,gel,sandmass,slick,xlinkgel
5123407570000,442783.0,1508389.0,191385.0,H,WATTENBERG,184710.0,2016-06-01,9980.0,10872.69,17237.0,NOBLE ENERGY,65W,NIOBRARA,17410.0,03N,2.0,7257.0,7002.0,MOSER,H22-711,0.0,10987672.093063531,1.0,1.0
5123408080000,237891.0,283828.0,190587.0,H,WILDCAT,91989.0,2016-11-01,9669.0,9921.55,15973.0,NOBLE ENERGY,58W,NIOBRARA,16170.0,09N,1.0,6304.0,5789.0,NUGENT,LD06-665,0.0,12402637.967252405,1.0,0.0
5123408120000,225988.0,254118.0,183635.0,H,WILDCAT,77295.0,2016-11-01,9655.0,9894.12,15904.0,NOBLE ENERGY,58W,NIOBRARA,16119.0,09N,1.0,6249.0,5765.0,NUGENT,LD06-655,0.0,12667875.905911162,1.0,0.0
5123408130000,225443.0,275504.0,179525.0,H,WILDCAT,97717.0,2016-11-01,9086.0,9912.97,15984.0,NOBLE ENERGY,58W,NIOBRARA,16180.0,09N,2.0,6898.0,5820.0,HESTON,LD06-625,0.0,5317325.199578099,1.0,0.0
5123408150000,175058.0,212556.0,139632.0,H,WILDCAT,68082.0,2016-11-01,9651.0,9931.63,16030.0,NOBLE ENERGY,58W,NIOBRARA,16240.0,09N,2.0,6379.0,5812.0,HESTON,LD06-630,0.0,5317325.199578098,1.0,0.0
5123408160000,240425.0,238880.0,200611.0,H,WILDCAT,99025.0,2016-11-01,,9928.65,,NOBLE ENERGY,58W,NIOBRARA,16261.0,09N,2.0,,5859.0,HESTON,LD06-620,0.0,5317325.199578097,1.0,0.0
5123408180000,242102.0,245804.0,201134.0,H,WILDCAT,118747.0,2016-12-01,,9895.18,,NOBLE ENERGY,58W,NIOBRARA,16038.0,09N,2.0,,5760.0,REAGAN,LD06-685,0.0,5317325.199578099,1.0,0.0
5123408190000,269111.0,304420.0,218374.0,H,WILDCAT,121211.0,2016-12-01,9658.0,9891.22,15832.0,NOBLE ENERGY,58W,NIOBRARA,16093.0,09N,2.0,6174.0,5804.0,REAGAN,LD06-675,0.0,5317325.199578099,1.0,0.0
5123407940000,84600.0,283397.0,37367.0,H,WATTENBERG,20448.0,2015-06-01,3803.0,4393.2,11676.0,EXTRACTION O&G,65W,CODELL,11777.0,06N,1.0,7873.0,7115.0,MATRIX,N-29HC,0.0,2572393.3107694513,1.0,1.0
5123407920000,79254.0,242841.0,38780.0,H,WATTENBERG,50765.0,2017-04-01,4300.0,4831.86,12025.0,EXTRACTION O&G,65W,CODELL,12090.0,06N,1.0,7725.0,7089.0,MATRIX,S-29HC,0.0,8276280.970178177,1.0,1.0
5123407870000,42344.0,50915.0,33858.0,H,WATTENBERG,15744.0,2015-07-01,3695.0,4543.38,10850.0,SRC ENERGY INC,68W,CODELL,10952.0,04N,1.0,7155.0,6312.0,SRC CANNON,H-16CHZ,0.0,3061033.3599801376,1.0,0.0
5123407860000,120797.0,193512.0,88545.0,H,WATTENBERG,43730.0,2015-07-01,3644.0,4661.76,10895.0,SRC ENERGY INC,68W,CODELL,11047.0,04N,1.0,7251.0,6235.0,SRC CANNON,K-16CHZ,0.0,3816546.5249256603,1.0,0.0
5123407830000,77417.0,102000.0,60417.0,H,WATTENBERG,42994.0,2015-07-01,3840.0,4593.23,11061.0,SRC ENERGY INC,68W,CODELL,11075.0,04N,2.0,7221.0,6262.86,SRC CANNON,13-16CHZ,0.0,3510171.751543385,1.0,0.0
5123407820000,90342.0,109070.0,72164.0,H,WATTENBERG,43761.0,2015-07-01,3275.0,4621.33,10371.0,SRC ENERGY INC,68W,CODELL,11063.0,04N,1.0,7096.0,6170.0,SRC CANNON,14-16CHZ,0.0,3867515.2600517953,1.0,0.0
5123407810000,48454.0,99399.0,31887.0,H,WATTENBERG,24147.0,2015-07-01,3670.0,4534.15,10539.0,SRC ENERGY INC,68W,CODELL,11041.0,04N,2.0,6869.0,6268.91,SRC CANNON,S-16CHZ,0.0,2959559.138403821,1.0,0.0
5123407800000,71913.0,213086.0,36399.0,H,WATTENBERG,31282.0,2015-07-01,3399.0,4585.62,10382.0,SRC ENERGY INC,68W,NIOBRARA,10953.0,04N,1.0,6983.0,6050.49,SRC CANNON,14-16NHZ,0.0,3030574.0367639493,1.0,0.0
5123407790000,77169.0,155881.0,51189.0,H,WATTENBERG,36196.0,2015-07-01,3803.0,4560.39,10914.0,SRC ENERGY INC,68W,CODELL,11014.0,04N,1.0,7111.0,6203.0,SRC CANNON,24-16CHZ,0.0,3228342.2755661313,1.0,0.0
5123407760000,231764.0,546648.0,140656.0,H,WATTENBERG,81388.0,2015-08-01,4689.0,5833.01,12385.0,EXTRACTION O&G,67W,CODELL,12454.0,06N,1.0,7696.0,7173.0,KODAK,2,0.0,4080550.199441446,1.0,1.0
5123408400000,205349.0,513902.0,119698.0,H,WATTENBERG,77265.0,2016-04-01,5403.0,5088.41,13356.0,ANADARKO,65W,NIOBRARA,13470.0,01N,1.0,7953.0,7174.0,GREEN,5N-8HZ,0.0,5223223.023222545,1.0,0.0
5123408390000,250391.0,517417.0,164155.0,H,WATTENBERG,81482.0,2016-04-01,5423.0,4954.32,13483.0,ANADARKO,65W,CARLILE-CODELL-FORT HAYS-NIOBRARA,13608.0,01N,1.0,8060.0,7342.0,GREEN,1C-8HZ,0.0,5361785.159252105,1.0,0.0
5123408380000,174975.0,431751.0,103016.0,H,WATTENBERG,66991.0,2016-04-01,5524.0,4939.71,13350.0,ANADARKO,65W,NIOBRARA,13459.0,01N,1.0,7826.0,7151.0,GREEN,3N-8HZ,0.0,5549606.759300742,1.0,0.0
5123408340000,184725.0,344021.0,127388.0,H,WATTENBERG,70382.0,2016-04-01,5441.0,5035.9,13470.0,ANADARKO,65W,CARLILE-CODELL-FORT HAYS-NIOBRARA,13581.0,01N,1.0,8029.0,7347.0,GREEN,2C-8HZ,0.0,5368960.834381815,1.0,0.0
5123408440000,182765.0,595936.0,83442.0,H,WATTENBERG,64142.0,2015-11-01,4573.0,4405.99,12676.0,ANADARKO,67W,NIOBRARA,12676.0,02N,1.0,8103.0,7516.0,HUNZIKER,1N-28HZ,1.0,3556949.7915439215,1.0,0.0
5123408830000,248881.0,460271.0,172169.0,H,WATTENBERG,135203.0,2016-06-01,9411.0,9920.05,17285.0,GREAT WESTERN OPERATING,67W,CODELL-CARLILE,17417.0,06N,2.0,7874.0,7140.0,BURR FD,23-219HC,0.0,7943214.569666368,1.0,1.0
5123408870000,311699.0,907516.0,160446.0,H,WATTENBERG,65151.0,2015-10-01,5566.0,6077.52,13690.0,ANADARKO,67W,CODELL-FORT HAYS,13690.0,02N,1.0,8124.0,7713.0,HUNZIKER,27C-4HZ,0.0,2757701.0844725985,1.0,0.0
5123408880000,4983.0,8091.0,3634.0,H,WATTENBERG,4979.0,2015-11-01,5317.0,6232.67,13600.0,ANADARKO,67W,CODELL,13728.0,02N,1.0,8283.0,7704.0,HUNZIKER,26C-4HZ,0.0,2685080.028888755,1.0,0.0
5123408890000,160354.0,494355.0,77962.0,H,WATTENBERG,53933.0,2015-10-01,5561.0,6116.04,13638.0,ANADARKO,67W,NIOBRARA,13638.0,02N,1.0,8077.0,7478.0,HUNZIKER,28N-4HZ,0.0,1544867.7420384658,1.0,1.0
5123408910000,149204.0,399305.0,82653.0,H,WATTENBERG,58007.0,2015-11-01,5763.0,6162.98,13730.0,ANADARKO,67W,NIOBRARA,13730.0,02N,1.0,7967.0,7560.0,HUNZIKER,26N-4HZ,0.0,1586467.0364401704,1.0,1.0
5123408920000,151100.0,465374.0,73537.0,H,WATTENBERG,55363.0,2015-11-01,5527.0,6101.96,13581.0,ANADARKO,67W,NIOBRARA,13581.0,02N,1.0,8054.0,7481.0,HUNZIKER,1N-4HZ,0.0,1606287.9374119116,1.0,1.0
5123408930000,186126.0,624153.0,82100.0,H,WATTENBERG,48668.0,2015-10-01,4719.0,4507.51,12888.0,ANADARKO,67W,CARLILE-CODELL-FORT HAYS-NIOBRARA,12888.0,02N,1.0,8169.0,7677.0,HUNZIKER,1C-28HZ,0.0,2351188.6019045142,1.0,0.0
5123408950000,50141.0,159358.0,23581.0,H,WATTENBERG,28869.0,2017-04-01,4233.0,4695.03,11750.0,EXTRACTION O&G,65W,CODELL,11760.0,06N,1.0,7517.0,7156.0,MATRIX,D-29HC,0.0,8276280.970178178,1.0,1.0
5123408990000,259864.0,799058.0,126688.0,H,GREELEY,52586.0,2015-10-01,,9790.25,,EXTRACTION O&G,65W,NIOBRARA,17027.0,05N,4.0,,6928.0,SHERLEY,J-4-9Hc,0.0,8276280.970178176,1.0,1.0
5123409000000,277528.0,754207.0,151827.0,H,WATTENBERG,33067.0,2015-09-01,9231.0,9696.5,16784.0,EXTRACTION O&G,65W,NIOBRARA,16890.0,05N,3.0,7553.0,6869.0,SHERLEY,H-4-9HN,0.0,8276280.970178178,1.0,1.0
5123409020000,115116.0,370799.0,53316.0,H,WATTENBERG,43798.0,2015-09-01,4036.0,4796.83,11143.0,NOBLE ENERGY,63W,NIOBRARA,11235.0,06N,1.0,7107.0,6610.0,AGGIE STATE,AA17-635,0.0,2681063.4082118906,1.0,1.0
